timestamp,ip_address,method,endpoint,parameters,status_code,response_time_ms,response_size_bytes,user_agent,frequency,is_anomaly
2026-05-15T14:19:21.588844,205.65.220.65,DELETE,/api/products,/api/products,200,280,40404,python-requests/2.28.0,12,False
2026-05-15T14:19:23.590719,61.229.51.121,POST,/api/health,/api/health,200,146,27846,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),13,False
2026-05-15T14:19:25.592054,47.240.228.114,GET,/dashboard,/dashboard,200,133,19578,curl/7.68.0,17,False
2026-05-15T14:19:27.593774,194.202.195.51,GET,/static/css,/static/css,200,137,28376,curl/7.68.0,45,False
2026-05-15T14:19:29.597023,99.0.235.155,GET,/api/health,/api/health,200,130,23931,curl/7.68.0,47,False
2026-05-15T14:19:31.598874,62.16.36.37,POST,/logout,/logout,304,333,691,python-requests/2.28.0,37,False
2026-05-15T14:19:33.600591,221.2.225.199,POST,/api/users,/api/users,304,94,338,Mozilla/5.0 (Windows NT 10.0; Win64; x64),47,False
2026-05-15T14:19:35.601910,142.179.205.173,GET,/api/health,/api/health,304,430,765,python-requests/2.28.0,27,False
2026-05-15T14:19:37.603569,166.57.54.84,GET,/api/users,/api/users,201,336,895,curl/7.68.0,40,False
2026-05-15T14:19:39.605432,21.7.132.9,GET,id=1' OR '1'='1,id=1' OR '1'='1&data=beyond,403,10239,662,python-requests/2.28.0,5,True
2026-05-15T14:19:41.607112,14.129.65.216,PUT,/api/products,/api/products,200,450,4530,curl/7.68.0,14,False
2026-05-15T14:19:43.610070,156.164.5.73,GET,/dashboard,/dashboard,200,75,30478,Mozilla/5.0 (Windows NT 10.0; Win64; x64),16,False
2026-05-15T14:19:45.611444,53.240.8.8,GET,resource=/admin,resource=/admin&token=invalid,401,545,444,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),3,True
2026-05-15T14:19:47.613130,7.211.218.135,POST,/static/css,/static/css,201,311,938,curl/7.68.0,13,False
2026-05-15T14:19:49.614504,191.82.190.56,POST,/api/products,/api/products,200,289,42621,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),17,False
2026-05-15T14:19:51.616476,5.221.149.43,POST,file=situation.docx,file=situation.docx&size=59MB,403,2000,937,curl/7.68.0,2,True
2026-05-15T14:19:53.618578,163.161.179.39,GET,/logout,/logout,200,401,34343,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),18,False
2026-05-15T14:19:55.620162,99.209.74.161,GET,/api/users,/api/users,200,109,46581,python-requests/2.28.0,25,False
2026-05-15T14:19:57.621777,111.32.206.18,GET,burst=true,burst=true&packets=4673,503,24378,383,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,True
2026-05-15T14:19:59.623127,179.227.239.33,PUT,/api/health,/api/health,200,100,7697,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),28,False
2026-05-15T14:20:01.624615,80.64.98.196,POST,resource=/admin,resource=/admin&token=invalid,401,465,943,python-requests/2.28.0,5,True
2026-05-15T14:20:03.627629,104.185.189.143,GET,port=56769,port=56769&scan_type=syn,500,1693,808,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),3,True
2026-05-15T14:20:05.628735,200.137.79.206,GET,/static/images,/static/images,200,449,16547,curl/7.68.0,27,False
2026-05-15T14:20:07.630569,102.48.76.68,GET,/api/health,/api/health,304,478,358,python-requests/2.28.0,32,False
2026-05-15T14:20:09.631913,8.9.16.202,GET,/dashboard,/dashboard,200,50,36332,curl/7.68.0,38,False
2026-05-15T14:20:11.633612,110.42.84.2,GET,id=1' OR '1'='1,id=1' OR '1'='1&data=always,403,7018,626,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,True
2026-05-15T14:20:13.636917,200.102.79.198,GET,/api/health,/api/health,200,369,17284,curl/7.68.0,24,False
2026-05-15T14:20:15.638350,33.254.158.232,GET,/dashboard,/dashboard,200,465,41439,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),34,False
2026-05-15T14:20:17.639903,150.9.121.225,GET,/static/images,/static/images,200,230,16787,curl/7.68.0,26,False
2026-05-15T14:20:19.641138,146.9.191.139,POST,/api/products,/api/products,201,303,608,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),42,False
2026-05-15T14:20:21.642391,166.249.109.180,DELETE,/api/users,/api/users,200,439,450,python-requests/2.28.0,5,False
2026-05-15T14:20:23.644604,28.201.119.191,GET,/api/health,/api/health,200,365,44954,curl/7.68.0,13,False
2026-05-15T14:20:25.646255,167.187.103.162,GET,/dashboard,/dashboard,200,227,41930,Mozilla/5.0 (Windows NT 10.0; Win64; x64),10,False
2026-05-15T14:20:27.647627,175.38.0.109,PUT,/api/health,/api/health,200,196,12826,Mozilla/5.0 (Windows NT 10.0; Win64; x64),21,False
2026-05-15T14:20:29.648947,184.119.172.21,GET,/login,/login,200,50,46478,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),40,False
2026-05-15T14:20:31.650486,100.60.233.240,GET,id=1' OR '1'='1,id=1' OR '1'='1&data=example,400,13555,895,curl/7.68.0,4,True
2026-05-15T14:20:33.652059,59.41.185.223,PUT,/api/products,/api/products,200,198,25500,python-requests/2.28.0,9,False
2026-05-15T14:20:35.653422,58.31.204.193,POST,/dashboard,/dashboard,200,312,1302,python-requests/2.28.0,34,False
2026-05-15T14:20:37.654706,55.52.75.202,POST,/logout,/logout,200,260,2089,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),17,False
2026-05-15T14:20:39.656093,53.237.210.126,GET,/logout,/logout,200,86,31936,Mozilla/5.0 (Windows NT 10.0; Win64; x64),43,False
2026-05-15T14:20:41.658173,155.184.160.183,PUT,/api/health,/api/health,304,167,435,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),46,False
2026-05-15T14:20:43.660979,187.151.182.29,GET,/api/health,/api/health,200,166,17275,curl/7.68.0,30,False
2026-05-15T14:20:45.664823,110.210.80.131,DELETE,/static/css,/static/css,200,118,6118,python-requests/2.28.0,13,False
2026-05-15T14:20:47.666398,49.99.25.175,GET,/api/orders,/api/orders,200,431,42995,Mozilla/5.0 (Windows NT 10.0; Win64; x64),40,False
2026-05-15T14:20:49.668086,82.28.124.68,POST,/api/users,/api/users,201,440,567,Mozilla/5.0 (Windows NT 10.0; Win64; x64),41,False
2026-05-15T14:20:51.669849,19.185.119.177,GET,/api/orders,/api/orders,201,447,260,curl/7.68.0,25,False
2026-05-15T14:20:53.671451,22.160.43.12,POST,/login,/login,200,454,35058,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),26,False
2026-05-15T14:20:55.673481,12.20.29.157,GET,/api/users,/api/users,200,116,22370,curl/7.68.0,15,False
2026-05-15T14:20:57.674679,168.27.48.129,DELETE,file=among.txt,file=among.txt&size=91MB,403,3403,281,Mozilla/5.0 (Windows NT 10.0; Win64; x64),3,True
2026-05-15T14:20:59.675875,167.75.182.191,GET,/api/products,/api/products,200,255,26605,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),40,False
2026-05-15T14:21:01.678252,45.186.149.197,POST,resource=/admin,resource=/admin&token=invalid,401,412,531,curl/7.68.0,2,True
2026-05-15T14:21:03.682959,128.205.125.197,PUT,/api/products,/api/products,200,334,23998,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),17,False
2026-05-15T14:21:05.691091,102.146.32.7,GET,/logout,/logout,201,185,167,Mozilla/5.0 (Windows NT 10.0; Win64; x64),45,False
2026-05-15T14:21:07.695270,48.81.105.157,GET,port=61342,port=61342&scan_type=syn,500,1431,434,python-requests/2.28.0,4,True
2026-05-15T14:21:09.700402,2.143.226.35,POST,/api/users,/api/users,304,251,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),27,False
2026-05-15T14:21:11.709545,136.49.162.32,GET,/api/health,/api/health,304,373,725,Mozilla/5.0 (Windows NT 10.0; Win64; x64),11,False
2026-05-15T14:21:13.726053,23.110.36.151,DELETE,/login,/login,200,485,28220,python-requests/2.28.0,38,False
2026-05-15T14:21:15.729421,176.232.184.127,POST,/api/products,/api/products,201,274,721,curl/7.68.0,46,False
2026-05-15T14:21:17.731737,22.108.110.7,GET,id=1' OR '1'='1,id=1' OR '1'='1&data=final,400,9322,660,python-requests/2.28.0,4,True
2026-05-15T14:21:19.735151,203.147.238.91,POST,user=christine19,user=christine19&attempt=34,401,482,560,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2,True
2026-05-15T14:21:21.737242,81.44.43.111,GET,/static/images,/static/images,200,497,13074,Mozilla/5.0 (Windows NT 10.0; Win64; x64),10,False
2026-05-15T14:21:23.741132,12.103.231.16,POST,/api/orders,/api/orders,304,414,232,python-requests/2.28.0,38,False
2026-05-15T14:21:25.743912,195.139.218.48,GET,/api/products,/api/products,200,446,29939,python-requests/2.28.0,30,False
2026-05-15T14:21:27.746770,121.95.127.220,GET,/login,/login,304,288,415,Mozilla/5.0 (Windows NT 10.0; Win64; x64),9,False
2026-05-15T14:21:29.750063,74.84.249.126,GET,/api/users,/api/users,200,160,45135,Mozilla/5.0 (Windows NT 10.0; Win64; x64),13,False
2026-05-15T14:21:31.753137,150.183.224.81,DELETE,file=seem.avi,file=seem.avi&size=50MB,403,2369,966,python-requests/2.28.0,3,True
2026-05-15T14:21:33.756665,111.6.223.44,DELETE,/dashboard,/dashboard,200,459,19860,python-requests/2.28.0,32,False
2026-05-15T14:21:35.759620,33.66.88.144,GET,port=52441,port=52441&scan_type=syn,500,2061,290,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1,True
2026-05-15T14:21:37.762165,62.76.222.217,GET,/dashboard,/dashboard,201,328,839,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),26,False
2026-05-15T14:21:39.764901,162.254.201.188,PUT,/api/health,/api/health,304,348,463,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),34,False
2026-05-15T14:21:41.766976,218.238.41.32,DELETE,/api/products,/api/products,200,232,2720,curl/7.68.0,47,False
2026-05-15T14:21:43.772840,167.211.146.103,DELETE,id=1' OR '1'='1,id=1' OR '1'='1&data=exactly,403,9091,271,python-requests/2.28.0,1,True
2026-05-15T14:21:45.775433,5.224.37.26,GET,resource=/admin,resource=/admin&token=invalid,401,308,641,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2,True
2026-05-15T14:21:47.777226,128.83.120.158,GET,/dashboard,/dashboard,304,302,635,Mozilla/5.0 (Windows NT 10.0; Win64; x64),11,False
2026-05-15T14:21:49.778858,85.183.160.233,DELETE,/api/health,/api/health,200,479,44934,Mozilla/5.0 (Windows NT 10.0; Win64; x64),20,False
2026-05-15T14:21:51.780540,173.132.124.60,DELETE,/api/users,/api/users,200,383,38230,curl/7.68.0,5,False
2026-05-15T14:21:53.782510,210.37.50.202,PUT,/api/orders,/api/orders,304,105,260,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),35,False
2026-05-15T14:21:55.784465,144.13.28.175,GET,/dashboard,/dashboard,200,143,2153,python-requests/2.28.0,25,False
2026-05-15T14:21:57.785949,139.6.66.65,GET,/api/users,/api/users,304,50,176,python-requests/2.28.0,5,False
2026-05-15T14:21:59.787731,74.149.249.125,DELETE,id=1' OR '1'='1,id=1' OR '1'='1&data=their,400,12417,594,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1,True
2026-05-15T14:22:01.789250,207.221.44.44,GET,/static/images,/static/images,200,257,46194,curl/7.68.0,6,False
2026-05-15T14:22:03.790509,160.197.96.237,PUT,/static/images,/static/images,201,388,688,curl/7.68.0,26,False
2026-05-15T14:22:05.792215,209.30.33.28,GET,/logout,/logout,200,208,47220,curl/7.68.0,8,False
